Hand,Fold,Raise2,Allin100
22,0,0,-1.48
32o,0,-0.24,-2.29
32s,0,-0.17,-1.77
33,0,0,-1.42
42o,0,-0.22,-2.24
42s,0,-0.14,-1.72
43o,0,-0.17,-2.02
43s,0,-0.1,-1.52
44,0,0,-1.36
52o,0,-0.21,-2.19
52s,0,-0.13,-1.68
53o,0,-0.15,-1.97
53s,0,-0.07,-1.48
54o,0,-0.11,-1.76
54s,0,0,-1.28
55,0,0.01,-1.3
62o,0,-0.25,-2.33
62s,0,-0.17,-1.81
63o,0,-0.18,-2.11
63s,0,-0.1,-1.61
64o,0,-0.13,-1.9
64s,0,-0.05,-1.41
65o,0,-0.1,-1.7
65s,0,0,-1.22
66,0,0.05,-1.26
72o,0,-0.28,-2.51
72s,0,-0.2,-1.98
73o,0,-0.22,-2.3
73s,0,-0.14,-1.78
74o,0,-0.17,-2.09
74s,0,-0.09,-1.58
75o,0,-0.12,-1.87
75s,0,-0.04,-1.39
76o,0,-0.1,-1.71
76s,0,0,-1.23
77,0,0.11,-1.26
82o,0,-0.27,-2.48
82s,0,-0.18,-1.95
83o,0,-0.25,-2.47
83s,0,-0.17,-1.94
84o,0,-0.21,-2.26
84s,0,-0.13,-1.75
85o,0,-0.15,-2.05
85s,0,-0.07,-1.55
86o,0,-0.1,-1.88
86s,0,-0.02,-1.39
87o,0,-0.08,-1.74
87s,0,0,-1.26
88,0,0.16,-1.25
92o,0,-0.25,-2.51
92s,0,-0.17,-1.98
93o,0,-0.23,-2.45
93s,0,-0.14,-1.93
94o,0,-0.22,-2.45
94s,0,-0.14,-1.92
95o,0,-0.18,-2.24
95s,0,-0.1,-1.73
96o,0,-0.13,-2.07
96s,0,-0.04,-1.57
97o,0,-0.09,-1.93
97s,0,0,-1.43
98o,0,-0.08,-1.83
98s,0,0,-1.35
99,0,0.25,-1.27
A2o,0,-0.09,-0.89
A2s,0,0.03,-0.47
A3o,0,-0.06,-0.85
A3s,0,0.06,-0.43
A4o,0,-0.04,-0.81
A4s,0,0.08,-0.39
A5o,0,-0.02,-0.77
A5s,0,0.1,-0.35
A6o,0,-0.05,-0.91
A6s,0,0.07,-0.49
A7o,0,-0.03,-0.88
A7s,0,0.09,-0.46
A8o,0,-0.02,-0.89
A8s,0,0.1,-0.47
A9o,0,0,-0.91
A9s,0,0.12,-0.49
AA,0,8.52,3.95
AJo,0,0.14,-0.63
AJs,0,0.33,-0.23
AKo,0,1.07,0.22
AKs,0,1.65,0.51
AQo,0,0.22,-0.52
AQs,0,0.62,-0.13
ATo,0,0.08,-0.7
ATs,0,0.21,-0.3
J2o,0,-0.21,-2.31
J2s,0,-0.12,-1.79
J3o,0,-0.19,-2.26
J3s,0,-0.1,-1.74
J4o,0,-0.17,-2.21
J4s,0,-0.08,-1.7
J5o,0,-0.15,-2.16
J5s,0,-0.06,-1.65
J6o,0,-0.15,-2.18
J6s,0,-0.06,-1.67
J7o,0,-0.12,-2.04
J7s,0,-0.03,-1.54
J8o,0,-0.09,-1.9
J8s,0,0,-1.41
J9o,0,-0.06,-1.8
J9s,0,0.03,-1.31
JJ,0,0.81,-0.49
JTo,0,0,-1.58
JTs,0,0.09,-1.12
K2o,0,-0.17,-1.77
K2s,0,-0.05,-1.29
K3o,0,-0.14,-1.72
K3s,0,-0.03,-1.25
K4o,0,-0.12,-1.68
K4s,0,-0.01,-1.21
K5o,0,-0.11,-1.63
K5s,0,0,-1.17
K6o,0,-0.1,-1.61
K6s,0,0.01,-1.15
K7o,0,-0.1,-1.61
K7s,0,0.01,-1.16
K8o,0,-0.1,-1.64
K8s,0,0.01,-1.18
K9o,0,-0.06,-1.55
K9s,0,0.04,-1.1
KJo,0,0.03,-1.25
KJs,0,0.2,-0.82
KK,0,4.71,1.31
KQo,0,0.09,-1.14
KQs,0,0.32,-0.73
KTo,0,0,-1.31
KTs,0,0.13,-0.89
Q2o,0,-0.17,-2.2
Q2s,0,-0.07,-1.69
Q3o,0,-0.15,-2.15
Q3s,0,-0.04,-1.64
Q4o,0,-0.13,-2.1
Q4s,0,-0.03,-1.6
Q5o,0,-0.11,-2.05
Q5s,0,-0.01,-1.55
Q6o,0,-0.11,-2.03
Q6s,0,-0.01,-1.54
Q7o,0,-0.11,-2.08
Q7s,0,-0.01,-1.58
Q8o,0,-0.1,-1.93
Q8s,0,0,-1.45
Q9o,0,-0.06,-1.83
Q9s,0,0.03,-1.35
QJo,0,0.01,-1.55
QJs,0,0.11,-1.09
QQ,0,1.96,-0.04
QTo,0,0,-1.6
QTs,0,0.1,-1.15
T2o,0,-0.23,-2.35
T2s,0,-0.15,-1.83
T3o,0,-0.21,-2.29
T3s,0,-0.12,-1.79
T4o,0,-0.2,-2.25
T4s,0,-0.11,-1.74
T5o,0,-0.18,-2.24
T5s,0,-0.1,-1.74
T6o,0,-0.15,-2.07
T6s,0,-0.07,-1.58
T7o,0,-0.11,-1.92
T7s,0,-0.02,-1.44
T8o,0,-0.09,-1.77
T8s,0,0,-1.3
T9o,0,-0.05,-1.67
T9s,0,0.03,-1.21
TT,0,0.41,-0.94
