Hand,Fold,Call,Raise3,Allin100
J7s,0,0.12,0.12,-0.89
J8o,0,0,0,-1.15
J8s,0,0.18,0.18,-0.71
J9o,0,0.06,0.06,-0.87
J9s,0,0.29,0.29,-0.46
JJ,0,2.74,2.74,2.19
JTo,0,0.2,0.2,-0.5
JTs,0,0.53,0.53,-0.11
K2o,0,-0.04,-0.1,-1.64
K2s,0,0.13,0.13,-1.17
K3o,0,-0.03,-0.08,-1.55
K3s,0,0.15,0.15,-1.09
K4o,0,-0.02,-0.06,-1.44
K4s,0,0.17,0.17,-0.99
K5o,0,0,-0.03,-1.27
K5s,0,0.2,0.2,-0.83
K6o,0,0,0,-1.13
K6s,0,0.23,0.23,-0.7
K7o,0,0,0,-1.07
K7s,0,0.23,0.23,-0.64
K8o,0,0.01,0.01,-1.03
K8s,0,0.24,0.24,-0.61
K9o,0,0.09,0.09,-0.76
K9s,0,0.38,0.38,-0.36
KJo,0,0.32,0.32,-0.25
KJs,0,0.77,0.77,0.12
KK,0,5.28,5.28,3.71
KQo,0,0.46,0.46,-0.14
KQs,0,0.92,0.92,0.22
KTo,0,0.25,0.25,-0.38
KTs,0,0.65,0.65,-0.01
Q2o,0,-0.06,-0.15,-1.87
Q2s,0,0.05,0.05,-1.38
Q3o,0,-0.05,-0.13,-1.77
Q3s,0,0.07,0.07,-1.28
Q4o,0,-0.03,-0.1,-1.66
Q4s,0,0.09,0.09,-1.18
Q5o,0,-0.01,-0.07,-1.49
Q5s,0,0.12,0.12,-1.03
Q6o,0,0,-0.05,-1.36
Q6s,0,0.14,0.14,-0.9
Q7o,0,0,-0.04,-1.33
Q7s,0,0.15,0.15,-0.88
Q8o,0,0,0,-1.14
Q8s,0,0.2,0.2,-0.7
Q9o,0,0.07,0.07,-0.87
Q9s,0,0.32,0.32,-0.45
QJo,0,0.28,0.28,-0.37
QJs,0,0.65,0.65,0.02
QQ,0,3.88,3.88,2.84
QTo,0,0.22,0.22,-0.5
QTs,0,0.56,0.56,-0.11
T2o,0,-0.11,-0.2,-2.16
T2s,0,-0.02,-0.04,-1.65
T3o,0,-0.1,-0.19,-2.05
T3s,0,-0.01,-0.02,-1.56
T4o,0,-0.09,-0.17,-1.94
T4s,0,0,0,-1.46
T5o,0,-0.08,-0.15,-1.81
T5s,0,0.01,0.01,-1.34
T6o,0,-0.03,-0.1,-1.54
T6s,0,0.06,0.06,-1.08
T7o,0,0,-0.04,-1.34
T7s,0,0.13,0.13,-0.89
T8o,0,0,0,-1.15
T8s,0,0.17,0.17,-0.72
T9o,0,0.07,0.07,-0.87
T9s,0,0.3,0.3,-0.47
TT,0,1.81,1.81,1.57
