Hand,Fold,Call,Raise3,Allin100
22,0,0.12,0.12,-1.8
32o,0,-0.15,-0.24,-2.94
32s,0,-0.06,-0.1,-2.39
33,0,0.16,0.16,-1.59
42o,0,-0.13,-0.22,-2.8
42s,0,-0.04,-0.07,-2.27
43o,0,-0.09,-0.16,-2.56
43s,0,0,-0.01,-2.04
44,0,0.21,0.21,-1.24
52o,0,-0.11,-0.2,-2.59
52s,0,-0.02,-0.05,-2.07
53o,0,-0.08,-0.14,-2.34
53s,0,0.01,0.01,-1.84
54o,0,-0.04,-0.09,-2.08
54s,0,0.06,0.06,-1.6
55,0,0.3,0.3,-0.71
62o,0,-0.14,-0.26,-2.63
62s,0,-0.05,-0.1,-2.11
63o,0,-0.1,-0.18,-2.38
63s,0,0,-0.03,-1.87
64o,0,-0.06,-0.12,-2.12
64s,0,0.04,0.04,-1.63
65o,0,-0.01,-0.06,-1.8
65s,0,0.09,0.09,-1.34
66,0,0.4,0.41,-0.14
72o,0,-0.16,-0.29,-2.77
72s,0,-0.07,-0.13,-2.23
73o,0,-0.12,-0.22,-2.52
73s,0,-0.03,-0.07,-2
74o,0,-0.09,-0.15,-2.26
74s,0,0,0,-1.75
75o,0,-0.03,-0.08,-1.94
75s,0,0.07,0.07,-1.46
76o,0,0,-0.02,-1.66
76s,0,0.13,0.13,-1.2
77,0,0.55,0.55,0.16
82o,0,-0.15,-0.26,-2.63
82s,0,-0.06,-0.1,-2.1
83o,0,-0.14,-0.25,-2.56
83s,0,-0.05,-0.09,-2.04
84o,0,-0.11,-0.19,-2.3
84s,0,-0.01,-0.03,-1.8
85o,0,-0.06,-0.12,-1.99
85s,0,0.03,0.03,-1.51
86o,0,-0.01,-0.04,-1.71
86s,0,0.11,0.11,-1.25
87o,0,0,0,-1.55
87s,0,0.16,0.16,-1.09
88,0,0.78,0.78,0.34
92o,0,-0.13,-0.24,-2.41
92s,0,-0.04,-0.08,-1.9
93o,0,-0.12,-0.22,-2.31
93s,0,-0.03,-0.06,-1.8
94o,0,-0.11,-0.21,-2.23
94s,0,-0.02,-0.05,-1.73
95o,0,-0.08,-0.15,-1.92
95s,0,0,0,-1.45
96o,0,-0.03,-0.08,-1.65
96s,0,0.08,0.08,-1.19
97o,0,0,-0.02,-1.46
97s,0,0.14,0.14,-1.01
98o,0,0,0,-1.28
98s,0,0.17,0.17,-0.84
99,0,1.1,1.1,0.79
A2o,0,0,-0.01,-1.13
A2s,0,0.26,0.26,-0.69
A3o,0,0.01,0.01,-1.06
A3s,0,0.29,0.29,-0.62
A4o,0,0.03,0.03,-0.95
A4s,0,0.34,0.34,-0.52
A5o,0,0.07,0.07,-0.79
A5s,0,0.4,0.4,-0.38
A6o,0,0.05,0.05,-0.81
A6s,0,0.34,0.34,-0.4
A7o,0,0.09,0.09,-0.72
A7s,0,0.4,0.4,-0.3
A8o,0,0.14,0.14,-0.67
A8s,0,0.47,0.47,-0.26
A9o,0,0.22,0.22,-0.53
A9s,0,0.58,0.58,-0.14
AA,0,6.94,6.94,4.86
AJo,0,0.57,0.57,-0.11
AJs,0,1.07,1.08,0.26
AKo,0,2.11,2.11,0.96
AKs,0,2.59,2.65,1.24
AQo,0,0.99,0.99,0.13
AQs,0,1.55,1.61,0.47
ATo,0,0.41,0.41,-0.24
ATs,0,0.87,0.87,0.14
J2o,0,-0.1,-0.18,-2.02
J2s,0,0,-0.01,-1.51
J3o,0,-0.09,-0.17,-1.91
J3s,0,0.01,0.01,-1.43
J4o,0,-0.07,-0.14,-1.8
J4s,0,0.03,0.03,-1.32
J5o,0,-0.05,-0.12,-1.63
J5s,0,0.05,0.05,-1.17
J6o,0,-0.04,-0.1,-1.54
J6s,0,0.07,0.07,-1.08
J7o,0,-0.01,-0.05,-1.34
