Hand,Fold,Raise2,Allin50
22,0,-0.03,-1.14
32o,0,-0.2,-2.14
32s,0,-0.15,-1.65
33,0,0,-1.08
42o,0,-0.18,-2.08
42s,0,-0.13,-1.59
43o,0,-0.15,-1.89
43s,0,-0.1,-1.41
44,0,0,-1.01
52o,0,-0.17,-2.03
52s,0,-0.12,-1.55
53o,0,-0.13,-1.83
53s,0,-0.08,-1.36
54o,0,-0.1,-1.64
54s,0,0,-1.18
55,0,0,-0.93
62o,0,-0.2,-2.19
62s,0,-0.14,-1.7
63o,0,-0.16,-1.99
63s,0,-0.1,-1.51
64o,0,-0.12,-1.79
64s,0,-0.07,-1.32
65o,0,-0.09,-1.6
65s,0,0,-1.14
66,0,0.01,-0.88
72o,0,-0.22,-2.36
72s,0,-0.16,-1.85
73o,0,-0.18,-2.16
73s,0,-0.12,-1.67
74o,0,-0.14,-1.96
74s,0,-0.09,-1.48
75o,0,-0.11,-1.76
75s,0,-0.05,-1.3
76o,0,-0.1,-1.59
76s,0,0,-1.14
77,0,0.04,-0.86
82o,0,-0.2,-2.32
82s,0,-0.15,-1.82
83o,0,-0.19,-2.32
83s,0,-0.14,-1.82
84o,0,-0.16,-2.12
84s,0,-0.1,-1.63
85o,0,-0.12,-1.92
85s,0,-0.07,-1.45
86o,0,-0.1,-1.74
86s,0,-0.03,-1.28
87o,0,-0.08,-1.62
87s,0,0,-1.16
88,0,0.07,-0.85
92o,0,-0.19,-2.35
92s,0,-0.13,-1.84
93o,0,-0.17,-2.29
93s,0,-0.12,-1.8
94o,0,-0.16,-2.29
94s,0,-0.1,-1.79
95o,0,-0.13,-2.1
95s,0,-0.07,-1.61
96o,0,-0.11,-1.91
96s,0,-0.05,-1.44
97o,0,-0.08,-1.78
97s,0,-0.01,-1.32
98o,0,-0.06,-1.72
98s,0,0,-1.26
99,0,0.16,-0.84
A2o,0,-0.06,-1
A2s,0,0.04,-0.58
A3o,0,-0.03,-0.96
A3s,0,0.06,-0.54
A4o,0,-0.01,-0.91
A4s,0,0.08,-0.5
A5o,0,0,-0.85
A5s,0,0.1,-0.46
A6o,0,-0.02,-0.99
A6s,0,0.07,-0.57
A7o,0,-0.01,-0.95
A7s,0,0.08,-0.54
A8o,0,0,-0.95
A8s,0,0.09,-0.54
A9o,0,0.01,-0.96
A9s,0,0.1,-0.55
AA,0,6.81,4.14
AJo,0,0.13,-0.65
AJs,0,0.39,-0.28
AKo,0,1.45,0.56
AKs,0,1.9,0.83
AQo,0,0.22,-0.32
AQs,0,0.68,0.03
ATo,0,0.08,-0.86
ATs,0,0.24,-0.45
J2o,0,-0.15,-2.07
J2s,0,-0.08,-1.6
J3o,0,-0.13,-2.02
J3s,0,-0.06,-1.55
J4o,0,-0.11,-1.98
J4s,0,-0.05,-1.51
J5o,0,-0.1,-1.94
J5s,0,-0.04,-1.47
J6o,0,-0.1,-1.94
J6s,0,-0.03,-1.48
J7o,0,-0.08,-1.81
J7s,0,-0.02,-1.35
J8o,0,-0.07,-1.68
J8s,0,0,-1.23
J9o,0,-0.04,-1.58
J9s,0,0.03,-1.14
JJ,0,1.63,-0.17
JTo,0,0,-1.46
JTs,0,0.07,-1.02
K2o,0,-0.12,-1.56
K2s,0,-0.03,-1.11
K3o,0,-0.1,-1.51
K3s,0,-0.01,-1.07
K4o,0,-0.09,-1.47
K4s,0,0,-1.03
K5o,0,-0.07,-1.43
K5s,0,0.01,-0.99
K6o,0,-0.07,-1.4
K6s,0,0.01,-0.96
K7o,0,-0.07,-1.4
K7s,0,0.01,-0.96
K8o,0,-0.07,-1.42
K8s,0,0.02,-0.98
K9o,0,-0.04,-1.35
K9s,0,0.04,-0.92
KJo,0,0.04,-0.99
KJs,0,0.22,-0.61
KK,0,4.7,2.41
KQo,0,0.08,-0.73
KQs,0,0.36,-0.36
KTo,0,0.01,-1.2
KTs,0,0.14,-0.78
Q2o,0,-0.13,-1.8
Q2s,0,-0.05,-1.34
Q3o,0,-0.11,-1.76
Q3s,0,-0.04,-1.29
Q4o,0,-0.09,-1.71
Q4s,0,-0.02,-1.25
Q5o,0,-0.08,-1.67
Q5s,0,-0.01,-1.22
Q6o,0,-0.08,-1.64
Q6s,0,-0.01,-1.19
Q7o,0,-0.08,-1.68
Q7s,0,-0.01,-1.22
Q8o,0,-0.07,-1.55
Q8s,0,0,-1.1
Q9o,0,-0.04,-1.45
Q9s,0,0.03,-1.01
QJo,0,0.02,-1.11
QJs,0,0.1,-0.71
QQ,0,2.9,1.03
QTo,0,0,-1.32
QTs,0,0.08,-0.89
T2o,0,-0.17,-2.34
T2s,0,-0.1,-1.84
T3o,0,-0.15,-2.29
T3s,0,-0.09,-1.79
T4o,0,-0.14,-2.25
T4s,0,-0.07,-1.75
T5o,0,-0.12,-2.25
T5s,0,-0.06,-1.75
T6o,0,-0.11,-2.06
T6s,0,-0.04,-1.58
T7o,0,-0.08,-1.93
T7s,0,-0.02,-1.45
T8o,0,-0.06,-1.81
T8s,0,0,-1.34
T9o,0,-0.04,-1.72
T9s,0,0.02,-1.26
TT,0,0.72,-0.76
