Hand,Fold,Raise2.5,Allin50
22,0,-0.01,-0.4
32o,0,-0.19,-1.63
32s,0,-0.12,-1.2
33,0,0,-0.34
42o,0,-0.17,-1.58
42s,0,-0.1,-1.17
43o,0,-0.14,-1.42
43s,0,-0.06,-1.01
44,0,0.05,-0.25
52o,0,-0.15,-1.53
52s,0,-0.08,-1.11
53o,0,-0.12,-1.37
53s,0,-0.04,-0.96
54o,0,-0.08,-1.21
54s,0,0,-0.82
55,0,0.14,-0.17
62o,0,-0.18,-1.68
62s,0,-0.11,-1.25
63o,0,-0.15,-1.51
63s,0,-0.07,-1.1
64o,0,-0.1,-1.35
64s,0,-0.03,-0.95
65o,0,-0.07,-1.18
65s,0,0,-0.78
66,0,0.23,-0.13
72o,0,-0.19,-1.8
72s,0,-0.12,-1.37
73o,0,-0.15,-1.64
73s,0,-0.08,-1.22
74o,0,-0.11,-1.48
74s,0,-0.04,-1.07
75o,0,-0.07,-1.3
75s,0,0,-0.9
76o,0,-0.05,-1.17
76s,0,0.02,-0.78
77,0,0.44,-0.11
82o,0,-0.18,-1.78
82s,0,-0.1,-1.34
83o,0,-0.17,-1.77
83s,0,-0.09,-1.34
84o,0,-0.13,-1.61
84s,0,-0.05,-1.19
85o,0,-0.09,-1.43
85s,0,-0.01,-1.02
86o,0,-0.06,-1.29
86s,0,0.02,-0.89
87o,0,-0.03,-1.18
87s,0,0.05,-0.79
88,0,0.89,-0.07
92o,0,-0.16,-1.69
92s,0,-0.07,-1.27
93o,0,-0.14,-1.66
93s,0,-0.07,-1.23
94o,0,-0.13,-1.65
94s,0,-0.05,-1.23
95o,0,-0.09,-1.47
95s,0,-0.01,-1.07
96o,0,-0.07,-1.33
96s,0,0.01,-0.93
97o,0,-0.02,-1.21
97s,0,0.06,-0.82
98o,0,0,-1.15
98s,0,0.08,-0.76
99,0,1.41,0.13
A2o,0,-0.01,-0.72
A2s,0,0.12,-0.37
A3o,0,0,-0.68
A3s,0,0.13,-0.33
A4o,0,0.02,-0.63
A4s,0,0.15,-0.29
A5o,0,0.04,-0.58
A5s,0,0.19,-0.24
A6o,0,0.04,-0.69
A6s,0,0.16,-0.34
A7o,0,0.06,-0.64
A7s,0,0.19,-0.3
A8o,0,0.09,-0.63
A8s,0,0.26,-0.29
A9o,0,0.15,-0.53
A9s,0,0.4,-0.2
AA,0,6.7,3.76
AJo,0,0.5,0.07
AJs,0,0.98,0.35
AKo,0,2.44,1.3
AKs,0,2.81,1.5
AQo,0,1.3,0.53
AQs,0,1.71,0.78
ATo,0,0.24,-0.28
ATs,0,0.7,0.03
J2o,0,-0.12,-1.49
J2s,0,-0.03,-1.08
J3o,0,-0.1,-1.45
J3s,0,-0.02,-1.05
J4o,0,-0.08,-1.42
J4s,0,0,-1.02
J5o,0,-0.07,-1.36
J5s,0,0.01,-0.96
J6o,0,-0.06,-1.37
J6s,0,0.01,-0.97
J7o,0,-0.03,-1.25
J7s,0,0.06,-0.86
J8o,0,0,-1.14
J8s,0,0.08,-0.76
J9o,0,0.04,-0.99
J9s,0,0.12,-0.62
JJ,0,3.01,1.06
JTo,0,0.1,-0.75
JTs,0,0.37,-0.4
K2o,0,-0.08,-1.11
K2s,0,0.03,-0.72
K3o,0,-0.07,-1.07
K3s,0,0.04,-0.69
K4o,0,-0.05,-1.04
K4s,0,0.06,-0.66
K5o,0,-0.03,-0.98
K5s,0,0.08,-0.61
K6o,0,-0.02,-0.96
K6s,0,0.08,-0.59
K7o,0,0,-0.96
K7s,0,0.1,-0.58
K8o,0,0,-0.97
K8s,0,0.1,-0.6
K9o,0,0.05,-0.84
K9s,0,0.19,-0.48
KJo,0,0.18,-0.53
KJs,0,0.61,-0.2
KK,0,5.24,2.66
KQo,0,0.35,-0.32
KQs,0,0.8,0
KTo,0,0.13,-0.59
KTs,0,0.5,-0.24
Q2o,0,-0.1,-1.3
Q2s,0,0,-0.9
Q3o,0,-0.08,-1.26
Q3s,0,0.01,-0.86
Q4o,0,-0.06,-1.23
Q4s,0,0.03,-0.83
Q5o,0,-0.04,-1.17
Q5s,0,0.05,-0.78
Q6o,0,-0.04,-1.15
Q6s,0,0.05,-0.76
Q7o,0,-0.02,-1.18
Q7s,0,0.07,-0.78
Q8o,0,0,-1.06
Q8s,0,0.09,-0.68
Q9o,0,0.05,-0.9
Q9s,0,0.14,-0.53
QJo,0,0.15,-0.6
QJs,0,0.51,-0.27
QQ,0,4.01,1.8
QTo,0,0.12,-0.67
QTs,0,0.4,-0.31
T2o,0,-0.13,-1.6
T2s,0,-0.05,-1.18
T3o,0,-0.12,-1.56
T3s,0,-0.04,-1.14
T4o,0,-0.1,-1.52
T4s,0,-0.02,-1.11
T5o,0,-0.09,-1.49
T5s,0,-0.01,-1.09
T6o,0,-0.07,-1.36
T6s,0,0.01,-0.96
T7o,0,-0.03,-1.24
T7s,0,0.05,-0.84
T8o,0,0,-1.13
T8s,0,0.08,-0.74
T9o,0,0.03,-0.97
T9s,0,0.12,-0.59
TT,0,2.24,0.58
