Hand,Fold,Call,Raise6.5,Allin100
K3s,0,-0.15,-0.05,-3.87
K4o,0,-0.44,-0.14,-5.1
K4s,0,-0.13,-0.04,-3.66
K5o,0,-0.41,-0.13,-4.97
K5s,0,-0.09,0,-3.51
K6o,0,-0.35,-0.13,-4.86
K6s,0,-0.02,0,-3.41
K7o,0,-0.38,-0.13,-4.86
K7s,0,-0.06,-0.01,-3.4
K8o,0,-0.39,-0.13,-4.88
K8s,0,-0.08,-0.02,-3.43
K9o,0,-0.32,-0.11,-4.53
K9s,0,-0.01,0,-3.1
KJo,0,-0.08,0,-3.66
KJs,0,0.18,0.18,-2.31
KK,0,7.52,8.59,6.91
KQo,0,0.03,0.1,-2.84
KQs,0,0.26,0.26,-1.55
KTo,0,-0.21,0,-3.96
KTs,0,0.07,0.07,-2.57
Q2o,0,-0.61,-0.24,-6.66
Q2s,0,-0.32,-0.15,-5.1
Q3o,0,-0.57,-0.23,-6.46
Q3s,0,-0.28,-0.13,-4.93
Q4o,0,-0.56,-0.21,-6.23
Q4s,0,-0.27,-0.12,-4.72
Q5o,0,-0.54,-0.2,-6.1
Q5s,0,-0.24,-0.1,-4.59
Q6o,0,-0.49,-0.21,-6.01
Q6s,0,-0.19,-0.1,-4.51
Q7o,0,-0.52,-0.21,-6.1
Q7s,0,-0.23,-0.11,-4.59
Q8o,0,-0.47,-0.19,-5.67
Q8s,0,-0.19,-0.08,-4.21
Q9o,0,-0.39,-0.17,-5.19
Q9s,0,-0.11,-0.06,-3.74
QJo,0,-0.21,-0.07,-4.42
QJs,0,0.03,0.03,-3.03
QQ,0,3.15,3.15,2.35
QTo,0,-0.24,-0.08,-4.66
QTs,0,0.02,0.02,-3.23
T2o,0,-0.74,-0.36,-7.39
T2s,0,-0.48,-0.28,-5.79
T3o,0,-0.71,-0.34,-7.18
T3s,0,-0.44,-0.26,-5.61
T4o,0,-0.7,-0.34,-6.95
T4s,0,-0.44,-0.25,-5.4
T5o,0,-0.7,-0.33,-6.95
T5s,0,-0.43,-0.25,-5.38
T6o,0,-0.6,-0.31,-6.38
T6s,0,-0.32,-0.21,-4.86
T7o,0,-0.5,-0.28,-5.92
T7s,0,-0.22,-0.17,-4.43
T8o,0,-0.41,-0.24,-5.52
T8s,0,-0.13,-0.12,-4.04
T9o,0,-0.3,-0.22,-5.14
T9s,0,-0.01,-0.06,-3.67
TT,0,0.16,0.16,-1.26
