Hand,Fold,Call,Raise6.5,Allin100
22,0,0,0,-4.23
32o,0,-0.56,-0.38,-7.14
32s,0,-0.31,-0.29,-5.6
33,0,0,0,-3.92
42o,0,-0.52,-0.37,-6.83
42s,0,-0.27,-0.27,-5.31
43o,0,-0.4,-0.33,-6.16
43s,0,-0.14,-0.19,-4.69
44,0,0,0,-3.39
52o,0,-0.49,-0.35,-6.74
52s,0,-0.23,-0.25,-5.21
53o,0,-0.33,-0.31,-6.04
53s,0,-0.07,-0.15,-4.56
54o,0,-0.28,-0.26,-5.29
54s,0,0,0,-3.88
55,0,0,0,-3
62o,0,-0.61,-0.4,-7.21
62s,0,-0.35,-0.31,-5.64
63o,0,-0.46,-0.35,-6.5
63s,0,-0.19,-0.23,-5
64o,0,-0.34,-0.3,-5.75
64s,0,-0.06,-0.12,-4.3
65o,0,-0.29,-0.25,-5.15
65s,0,0,0,-3.72
66,0,0,0,-2.78
72o,0,-0.75,-0.43,-7.72
72s,0,-0.49,-0.36,-6.13
73o,0,-0.6,-0.39,-7.02
73s,0,-0.33,-0.3,-5.47
74o,0,-0.49,-0.34,-6.28
74s,0,-0.21,-0.23,-4.79
75o,0,-0.37,-0.3,-5.67
75s,0,-0.09,-0.14,-4.21
76o,0,-0.29,-0.27,-5.19
76s,0,0,-0.07,-3.75
77,0,0,0,-2.61
82o,0,-0.71,-0.42,-7.56
82s,0,-0.45,-0.34,-5.98
83o,0,-0.7,-0.41,-7.5
83s,0,-0.43,-0.34,-5.92
84o,0,-0.61,-0.38,-6.78
84s,0,-0.34,-0.29,-5.25
85o,0,-0.49,-0.33,-6.15
85s,0,-0.2,-0.22,-4.65
86o,0,-0.35,-0.3,-5.63
86s,0,-0.07,-0.14,-4.16
87o,0,-0.3,-0.28,-5.24
87s,0,-0.01,-0.1,-3.79
88,0,0,0,-2.34
92o,0,-0.68,-0.42,-7.58
92s,0,-0.41,-0.34,-5.97
93o,0,-0.65,-0.4,-7.37
93s,0,-0.38,-0.33,-5.79
94o,0,-0.67,-0.41,-7.28
94s,0,-0.4,-0.33,-5.71
95o,0,-0.59,-0.36,-6.65
95s,0,-0.31,-0.27,-5.1
96o,0,-0.45,-0.33,-6.09
96s,0,-0.16,-0.22,-4.6
97o,0,-0.35,-0.3,-5.64
97s,0,-0.06,-0.15,-4.15
98o,0,-0.29,-0.28,-5.39
98s,0,0,-0.11,-3.91
99,0,0,0,-1.93
A2o,0,-0.41,-0.14,-3.4
A2s,0,-0.03,0,-1.95
A3o,0,-0.37,-0.12,-3.2
A3s,0,0,0,-1.78
A4o,0,-0.36,-0.11,-2.93
A4s,0,0.01,0.01,-1.54
A5o,0,-0.34,-0.09,-2.81
A5s,0,0.03,0.03,-1.42
A6o,0,-0.39,-0.13,-3.24
A6s,0,-0.01,0,-1.82
A7o,0,-0.39,-0.13,-3.14
A7s,0,0,0,-1.71
A8o,0,-0.37,-0.12,-3
A8s,0,0,0,-1.61
A9o,0,-0.35,-0.12,-2.9
A9s,0,0,0,-1.5
AA,0,12.8,15.81,13.78
AJo,0,-0.07,0,-2.08
AJs,0,0.23,0.23,-0.74
AKo,0,1.6,1.6,1.03
AKs,0,2.33,2.53,2.03
AQo,0,0.16,0.16,-1.22
AQs,0,0.81,0.81,0.01
ATo,0,-0.24,0,-2.41
ATs,0,0.08,0.08,-1.04
J2o,0,-0.69,-0.36,-7.15
J2s,0,-0.43,-0.27,-5.56
J3o,0,-0.65,-0.34,-6.94
J3s,0,-0.39,-0.26,-5.38
J4o,0,-0.64,-0.33,-6.71
J4s,0,-0.37,-0.25,-5.17
J5o,0,-0.62,-0.32,-6.58
J5s,0,-0.35,-0.23,-5.04
J6o,0,-0.59,-0.33,-6.6
J6s,0,-0.32,-0.24,-5.07
J7o,0,-0.55,-0.3,-6.15
J7s,0,-0.28,-0.21,-4.64
J8o,0,-0.47,-0.27,-5.77
J8s,0,-0.2,-0.17,-4.28
J9o,0,-0.37,-0.24,-5.38
J9s,0,-0.1,-0.13,-3.9
JJ,0,0.81,0.81,0.02
JTo,0,-0.26,-0.14,-4.87
JTs,0,0,0,-3.42
K2o,0,-0.5,-0.17,-5.55
K2s,0,-0.18,-0.06,-4.05
K3o,0,-0.46,-0.15,-5.35
