Hand,Fold,Raise2.2,Allin50
22,100,0,0
32o,100,0,0
32s,100,0,0
33,98.2,1.8,0
42o,100,0,0
42s,100,0,0
43o,100,0,0
43s,100,0,0
44,77.6,22.4,0
52o,100,0,0
52s,100,0,0
53o,100,0,0
53s,100,0,0
54o,100,0,0
54s,95.6,4.4,0
55,0,100,0
62o,100,0,0
62s,100,0,0
63o,100,0,0
63s,100,0,0
64o,100,0,0
64s,100,0,0
65o,100,0,0
65s,90.8,9.2,0
66,0,100,0
72o,100,0,0
72s,100,0,0
73o,100,0,0
73s,100,0,0
74o,100,0,0
74s,100,0,0
75o,100,0,0
75s,100,0,0
76o,100,0,0
76s,82.8,17.2,0
77,0,100,0
82o,100,0,0
82s,100,0,0
83o,100,0,0
83s,100,0,0
84o,100,0,0
84s,100,0,0
85o,100,0,0
85s,100,0,0
86o,100,0,0
86s,100,0,0
87o,100,0,0
87s,69.2,30.8,0
88,0,100,0
92o,100,0,0
92s,100,0,0
93o,100,0,0
93s,100,0,0
94o,100,0,0
94s,100,0,0
95o,100,0,0
95s,100,0,0
96o,100,0,0
96s,100,0,0
97o,100,0,0
97s,55,45,0
98o,100,0,0
98s,0,100,0
99,0,100,0
A2o,100,0,0
A2s,0,100,0
A3o,100,0,0
A3s,0,100,0
A4o,100,0,0
A4s,0,100,0
A5o,26,74,0
A5s,0,100,0
A6o,100,0,0
A6s,0,100,0
A7o,56.2,43.8,0
A7s,0,100,0
A8o,0,100,0
A8s,0,100,0
A9o,0,100,0
A9s,0,100,0
AA,0,100,0
AJo,0,100,0
AJs,0,100,0
AKo,0,100,0
AKs,0,100,0
AQo,0,100,0
AQs,0,100,0
ATo,0,100,0
ATs,0,100,0
J2o,100,0,0
J2s,100,0,0
J3o,100,0,0
J3s,100,0,0
J4o,100,0,0
J4s,100,0,0
J5o,100,0,0
J5s,100,0,0
J6o,100,0,0
J6s,100,0,0
J7o,100,0,0
J7s,49.6,50.4,0
J8o,100,0,0
J8s,0,100,0
J9o,96.6,3.4,0
J9s,0,100,0
JJ,0,100,0
JTo,0,100,0
JTs,0,100,0
K2o,100,0,0
K2s,100,0,0
K3o,100,0,0
K3s,27.2,72.8,0
K4o,100,0,0
K4s,0,100,0
K5o,100,0,0
K5s,0,100,0
K6o,100,0,0
K6s,0,100,0
K7o,100,0,0
K7s,0,100,0
K8o,100,0,0
K8s,0,100,0
K9o,45.4,54.6,0
K9s,0,100,0
KJo,0,100,0
KJs,0,100,0
KK,0,100,0
KQo,0,100,0
KQs,0,100,0
KTo,0,100,0
KTs,0,100,0
Q2o,100,0,0
Q2s,100,0,0
Q3o,100,0,0
Q3s,100,0,0
Q4o,100,0,0
Q4s,100,0,0
Q5o,100,0,0
Q5s,40.2,59.8,0
Q6o,100,0,0
Q6s,0,100,0
Q7o,100,0,0
Q7s,0,100,0
Q8o,100,0,0
Q8s,0,100,0
Q9o,86.8,13.2,0
Q9s,0,100,0
QJo,0,100,0
QJs,0,100,0
QQ,0,100,0
QTo,0,100,0
QTs,0,100,0
T2o,100,0,0
T2s,100,0,0
T3o,100,0,0
T3s,100,0,0
T4o,100,0,0
T4s,100,0,0
T5o,100,0,0
T5s,100,0,0
T6o,100,0,0
T6s,100,0,0
T7o,100,0,0
T7s,29,71,0
T8o,100,0,0
T8s,0,100,0
T9o,78.8,21.2,0
T9s,0,100,0
TT,0,100,0
