Hand,Fold,Call,Raise6,Allin50
22,0,0,-0.16,-1.19
32o,0,-0.59,-0.25,-3.31
32s,0,-0.31,-0.21,-2.42
33,0,0,-0.11,-1.03
42o,0,-0.55,-0.24,-3.22
42s,0,-0.27,-0.21,-2.33
43o,0,-0.44,-0.23,-2.85
43s,0,-0.14,-0.18,-1.99
44,0,0,-0.04,-0.9
52o,0,-0.52,-0.25,-3.15
52s,0,-0.23,-0.21,-2.26
53o,0,-0.38,-0.23,-2.77
53s,0,-0.08,-0.14,-1.91
54o,0,-0.31,-0.22,-2.42
54s,0,0,0,-1.58
55,0,0,-0.02,-0.78
62o,0,-0.64,-0.26,-3.44
62s,0,-0.35,-0.22,-2.54
63o,0,-0.5,-0.24,-3.06
63s,0,-0.2,-0.21,-2.18
64o,0,-0.39,-0.23,-2.71
64s,0,-0.08,-0.12,-1.84
65o,0,-0.32,-0.23,-2.38
65s,0,0,0,-1.55
66,0,0,0,-0.67
72o,0,-0.75,-0.28,-3.69
72s,0,-0.46,-0.24,-2.77
73o,0,-0.62,-0.26,-3.31
73s,0,-0.32,-0.22,-2.42
74o,0,-0.51,-0.24,-2.95
74s,0,-0.2,-0.21,-2.08
75o,0,-0.39,-0.24,-2.62
75s,0,-0.08,-0.13,-1.77
76o,0,-0.32,-0.23,-2.32
76s,0,0,0,-1.48
77,0,0,0,-0.51
82o,0,-0.72,-0.27,-3.67
82s,0,-0.43,-0.23,-2.74
83o,0,-0.7,-0.27,-3.65
83s,0,-0.41,-0.23,-2.73
84o,0,-0.62,-0.26,-3.3
84s,0,-0.31,-0.22,-2.39
85o,0,-0.49,-0.25,-2.96
85s,0,-0.18,-0.22,-2.08
86o,0,-0.36,-0.24,-2.65
86s,0,-0.04,-0.1,-1.78
87o,0,-0.33,-0.23,-2.39
87s,0,0,-0.02,-1.55
88,0,0,0,-0.42
92o,0,-0.69,-0.25,-3.71
92s,0,-0.4,-0.21,-2.78
93o,0,-0.66,-0.25,-3.61
93s,0,-0.36,-0.21,-2.69
94o,0,-0.66,-0.25,-3.61
94s,0,-0.37,-0.21,-2.68
95o,0,-0.57,-0.24,-3.28
95s,0,-0.27,-0.2,-2.37
96o,0,-0.44,-0.22,-2.96
96s,0,-0.13,-0.18,-2.07
97o,0,-0.33,-0.21,-2.67
97s,0,-0.02,-0.08,-1.8
98o,0,-0.32,-0.2,-2.62
98s,0,0,-0.02,-1.75
99,0,0.1,0.1,-0.35
A2o,0,-0.48,-0.07,-1.64
A2s,0,-0.06,0,-0.81
A3o,0,-0.42,-0.06,-1.55
A3s,0,0,0,-0.72
A4o,0,-0.41,-0.06,-1.47
A4s,0,0.01,0.01,-0.64
A5o,0,-0.37,-0.06,-1.35
A5s,0,0.05,0.05,-0.55
A6o,0,-0.44,-0.06,-1.66
A6s,0,-0.02,0,-0.82
A7o,0,-0.43,-0.06,-1.54
A7s,0,-0.01,0,-0.72
A8o,0,-0.41,-0.06,-1.54
A8s,0,0,0,-0.71
A9o,0,-0.37,-0.02,-1.59
A9s,0,0.03,0.03,-0.76
AA,0,10.9,11.34,9.05
AJo,0,-0.04,0.04,-1.06
AJs,0,0.33,0.33,-0.28
AKo,0,1.96,2.25,1.53
AKs,0,2.57,2.89,2.1
AQo,0,0.18,0.18,-0.53
AQs,0,0.83,0.86,0.21
ATo,0,-0.23,0.01,-1.44
ATs,0,0.14,0.13,-0.61
J2o,0,-0.7,-0.22,-3.36
J2s,0,-0.41,-0.18,-2.44
J3o,0,-0.66,-0.22,-3.26
J3s,0,-0.36,-0.17,-2.36
J4o,0,-0.64,-0.21,-3.17
J4s,0,-0.35,-0.17,-2.27
J5o,0,-0.61,-0.22,-3.12
J5s,0,-0.31,-0.17,-2.23
J6o,0,-0.59,-0.21,-3.15
J6s,0,-0.29,-0.17,-2.25
J7o,0,-0.55,-0.21,-2.85
J7s,0,-0.25,-0.16,-1.98
J8o,0,-0.47,-0.2,-2.65
J8s,0,-0.16,-0.15,-1.77
J9o,0,-0.36,-0.16,-2.48
J9s,0,-0.05,-0.05,-1.6
JJ,0,2.7,2.79,0.93
JTo,0,-0.28,-0.13,-2.3
JTs,0,0,0,-1.43
K2o,0,-0.5,-0.09,-2.55
K2s,0,-0.16,-0.03,-1.69
K3o,0,-0.46,-0.08,-2.45
K3s,0,-0.11,-0.03,-1.6
K4o,0,-0.44,-0.07,-2.38
K4s,0,-0.09,-0.02,-1.52
K5o,0,-0.39,-0.08,-2.29
K5s,0,-0.04,-0.02,-1.45
K6o,0,-0.36,-0.07,-2.24
K6s,0,0,0,-1.4
K7o,0,-0.39,-0.08,-2.2
K7s,0,-0.04,-0.02,-1.36
K8o,0,-0.39,-0.08,-2.23
K8s,0,-0.04,-0.02,-1.38
K9o,0,-0.34,-0.05,-2.18
K9s,0,0.01,0.01,-1.31
KJo,0,-0.12,0,-1.54
KJs,0,0.17,0.17,-0.74
KK,0,7.34,7.83,5.56
KQo,0,0.05,0.1,-1.12
KQs,0,0.33,0.33,-0.36
KTo,0,-0.22,0,-1.91
KTs,0,0.08,0.08,-1.07
Q2o,0,-0.65,-0.13,-2.98
Q2s,0,-0.33,-0.08,-2.08
Q3o,0,-0.6,-0.12,-2.89
Q3s,0,-0.29,-0.08,-1.99
Q4o,0,-0.58,-0.12,-2.81
Q4s,0,-0.27,-0.07,-1.92
Q5o,0,-0.55,-0.12,-2.75
Q5s,0,-0.23,-0.08,-1.86
Q6o,0,-0.52,-0.11,-2.7
Q6s,0,-0.2,-0.07,-1.82
Q7o,0,-0.56,-0.12,-2.73
Q7s,0,-0.24,-0.08,-1.84
Q8o,0,-0.51,-0.11,-2.48
Q8s,0,-0.18,-0.06,-1.61
