Hand,Fold,Raise2,Allin100
22,0,0,-1.43
32o,0,-0.24,-1.91
32s,0,-0.17,-1.47
33,0,0,-1.39
42o,0,-0.22,-1.87
42s,0,-0.15,-1.42
43o,0,-0.17,-1.68
43s,0,-0.1,-1.25
44,0,0,-1.34
52o,0,-0.2,-1.82
52s,0,-0.13,-1.38
53o,0,-0.15,-1.64
53s,0,-0.07,-1.21
54o,0,-0.11,-1.46
54s,0,0,-1.04
55,0,0,-1.3
62o,0,-0.25,-1.93
62s,0,-0.18,-1.48
63o,0,-0.19,-1.74
63s,0,-0.12,-1.31
64o,0,-0.14,-1.56
64s,0,-0.05,-1.14
65o,0,-0.11,-1.38
65s,0,0,-0.97
66,0,0,-1.28
72o,0,-0.28,-2.09
72s,0,-0.21,-1.64
73o,0,-0.23,-1.91
73s,0,-0.16,-1.47
74o,0,-0.18,-1.73
74s,0,-0.1,-1.29
75o,0,-0.13,-1.54
75s,0,-0.04,-1.12
76o,0,-0.12,-1.4
76s,0,0,-0.98
77,0,0.05,-1.29
82o,0,-0.26,-2.06
82s,0,-0.18,-1.6
83o,0,-0.25,-2.06
83s,0,-0.17,-1.6
84o,0,-0.21,-1.88
84s,0,-0.13,-1.43
85o,0,-0.15,-1.69
85s,0,-0.08,-1.26
86o,0,-0.12,-1.54
86s,0,-0.02,-1.12
87o,0,-0.1,-1.42
87s,0,0,-1
88,0,0.1,-1.29
92o,0,-0.25,-2.09
92s,0,-0.17,-1.63
93o,0,-0.23,-2.04
93s,0,-0.15,-1.59
94o,0,-0.22,-2.04
94s,0,-0.15,-1.59
95o,0,-0.18,-1.86
95s,0,-0.1,-1.42
96o,0,-0.14,-1.71
96s,0,-0.07,-1.28
97o,0,-0.11,-1.57
97s,0,-0.01,-1.15
98o,0,-0.09,-1.47
98s,0,0,-1.05
99,0,0.16,-1.33
A2o,0,-0.12,-0.52
A2s,0,0,-0.17
A3o,0,-0.1,-0.49
A3s,0,0.01,-0.14
A4o,0,-0.08,-0.46
A4s,0,0.03,-0.11
A5o,0,-0.06,-0.42
A5s,0,0.05,-0.08
A6o,0,-0.1,-0.55
A6s,0,0.02,-0.2
A7o,0,-0.08,-0.53
A7s,0,0.03,-0.18
A8o,0,-0.07,-0.53
A8s,0,0.04,-0.19
A9o,0,-0.06,-0.55
A9s,0,0.06,-0.2
AA,0,8.19,3.27
AJo,0,0.04,-0.48
AJs,0,0.21,-0.14
AKo,0,0.81,0.1
AKs,0,1.33,0.37
AQo,0,0.12,-0.31
AQs,0,0.46,0
ATo,0,0,-0.46
ATs,0,0.13,-0.12
J2o,0,-0.22,-2.13
J2s,0,-0.13,-1.67
J3o,0,-0.2,-2.08
J3s,0,-0.11,-1.63
J4o,0,-0.18,-2.04
J4s,0,-0.09,-1.59
J5o,0,-0.16,-2
J5s,0,-0.08,-1.55
J6o,0,-0.17,-2.03
J6s,0,-0.08,-1.57
J7o,0,-0.14,-1.89
J7s,0,-0.05,-1.45
J8o,0,-0.1,-1.77
J8s,0,-0.02,-1.34
J9o,0,-0.08,-1.69
J9s,0,0,-1.26
JJ,0,0.52,-1.37
JTo,0,-0.02,-1.64
JTs,0,0.06,-1.21
K2o,0,-0.15,-1.46
K2s,0,-0.04,-1.06
K3o,0,-0.13,-1.42
K3s,0,-0.03,-1.02
K4o,0,-0.12,-1.39
K4s,0,-0.01,-0.99
K5o,0,-0.1,-1.35
K5s,0,0,-0.96
K6o,0,-0.1,-1.34
K6s,0,0,-0.94
K7o,0,-0.1,-1.34
K7s,0,0,-0.95
K8o,0,-0.1,-1.37
K8s,0,0,-0.97
K9o,0,-0.08,-1.28
K9s,0,0.02,-0.89
KJo,0,0,-1.23
KJs,0,0.11,-0.84
KK,0,4,0.6
KQo,0,0.05,-1.06
KQs,0,0.19,-0.7
KTo,0,0,-1.2
KTs,0,0.09,-0.81
Q2o,0,-0.17,-1.9
Q2s,0,-0.07,-1.46
Q3o,0,-0.15,-1.86
Q3s,0,-0.05,-1.43
Q4o,0,-0.13,-1.82
Q4s,0,-0.03,-1.39
Q5o,0,-0.11,-1.78
Q5s,0,-0.02,-1.36
Q6o,0,-0.11,-1.77
Q6s,0,-0.02,-1.34
Q7o,0,-0.11,-1.8
Q7s,0,-0.02,-1.38
Q8o,0,-0.09,-1.68
Q8s,0,0,-1.26
Q9o,0,-0.08,-1.59
Q9s,0,0.01,-1.18
QJo,0,0,-1.56
QJs,0,0.09,-1.15
QQ,0,1.35,-0.89
QTo,0,0,-1.52
QTs,0,0.08,-1.12
T2o,0,-0.23,-2.09
T2s,0,-0.15,-1.63
T3o,0,-0.21,-2.04
T3s,0,-0.13,-1.59
T4o,0,-0.19,-2
T4s,0,-0.11,-1.55
T5o,0,-0.18,-2
T5s,0,-0.1,-1.55
T6o,0,-0.16,-1.85
T6s,0,-0.08,-1.41
T7o,0,-0.12,-1.71
T7s,0,-0.04,-1.28
T8o,0,-0.08,-1.59
T8s,0,0,-1.17
T9o,0,-0.07,-1.51
T9s,0,0,-1.09
TT,0,0.28,-1.33
