Hand,Fold,Call,Raise13,Allin100
22,0,0,0,-4.79
32o,0,-0.47,-0.75,-6.69
32s,0,-0.26,-0.46,-5.33
33,0,0,0,-4.63
42o,0,-0.44,-0.74,-6.58
42s,0,-0.23,-0.43,-5.21
43o,0,-0.35,-0.6,-5.99
43s,0,-0.12,-0.3,-4.65
44,0,0,0,-4.54
52o,0,-0.43,-0.71,-6.5
52s,0,-0.2,-0.4,-5.12
53o,0,-0.29,-0.56,-5.9
53s,0,-0.05,-0.23,-4.56
54o,0,-0.25,-0.45,-5.33
54s,0,0,0,-4.01
55,0,0,0,-4.51
62o,0,-0.55,-0.81,-7.11
62s,0,-0.33,-0.5,-5.71
63o,0,-0.41,-0.66,-6.52
63s,0,-0.18,-0.35,-5.13
64o,0,-0.3,-0.54,-5.94
64s,0,-0.05,-0.17,-4.61
65o,0,-0.26,-0.43,-5.42
65s,0,0,0,-4.1
66,0,0.05,0.05,-4.55
72o,0,-0.66,-0.95,-7.69
72s,0,-0.43,-0.64,-6.22
73o,0,-0.55,-0.79,-7.06
73s,0,-0.31,-0.48,-5.65
74o,0,-0.44,-0.67,-6.51
74s,0,-0.18,-0.36,-5.13
75o,0,-0.3,-0.54,-5.98
75s,0,-0.04,-0.2,-4.64
76o,0,-0.26,-0.47,-5.64
76s,0,0,-0.02,-4.3
77,0,0.14,0.14,-4.6
82o,0,-0.64,-0.92,-7.63
82s,0,-0.39,-0.6,-6.17
83o,0,-0.65,-0.91,-7.63
83s,0,-0.4,-0.6,-6.19
84o,0,-0.58,-0.81,-7.08
84s,0,-0.32,-0.49,-5.65
85o,0,-0.43,-0.68,-6.55
85s,0,-0.17,-0.36,-5.14
86o,0,-0.3,-0.56,-6.14
86s,0,-0.03,-0.23,-4.77
87o,0,-0.28,-0.54,-5.91
87s,0,0,-0.12,-4.55
88,0,0.19,0.19,-4.67
92o,0,-0.64,-0.89,-7.83
92s,0,-0.38,-0.58,-6.36
93o,0,-0.63,-0.86,-7.69
93s,0,-0.37,-0.55,-6.22
94o,0,-0.65,-0.88,-7.73
94s,0,-0.39,-0.58,-6.27
95o,0,-0.57,-0.77,-7.22
95s,0,-0.29,-0.45,-5.76
96o,0,-0.42,-0.65,-6.79
96s,0,-0.14,-0.34,-5.37
97o,0,-0.3,-0.57,-6.54
97s,0,-0.01,-0.23,-5.13
98o,0,-0.3,-0.55,-6.43
98s,0,0,-0.16,-5.02
99,0,0.32,0.31,-4.81
A2o,0,-0.49,-0.45,-3.04
A2s,0,-0.01,-0.03,-1.72
A3o,0,-0.47,-0.42,-2.89
A3s,0,0,0,-1.57
A4o,0,-0.47,-0.42,-2.79
A4s,0,0,0,-1.45
A5o,0,-0.44,-0.4,-2.71
A5s,0,0.04,0.04,-1.39
A6o,0,-0.52,-0.48,-3.36
A6s,0,-0.02,-0.05,-1.99
A7o,0,-0.5,-0.48,-3.27
A7s,0,0,-0.04,-1.9
A8o,0,-0.49,-0.49,-3.31
A8s,0,0,-0.04,-1.93
A9o,0,-0.47,-0.49,-3.49
A9s,0,0,-0.04,-2.11
AA,0,9.32,19.67,15.43
AJo,0,0,0,-1.52
