Hand,Fold,Raise2,Allin50
22,0,-0.02,-1.45
32o,0,-0.2,-2.43
32s,0,-0.16,-1.88
33,0,0,-1.37
42o,0,-0.19,-2.37
42s,0,-0.14,-1.82
43o,0,-0.16,-2.14
43s,0,-0.11,-1.61
44,0,0,-1.29
52o,0,-0.17,-2.31
52s,0,-0.13,-1.77
53o,0,-0.14,-2.08
53s,0,-0.08,-1.56
54o,0,-0.11,-1.86
54s,0,0,-1.34
55,0,0,-1.22
62o,0,-0.2,-2.49
62s,0,-0.15,-1.94
63o,0,-0.16,-2.26
63s,0,-0.12,-1.72
64o,0,-0.13,-2.03
64s,0,-0.07,-1.5
65o,0,-0.1,-1.81
65s,0,0,-1.3
66,0,0,-1.18
72o,0,-0.22,-2.68
72s,0,-0.17,-2.12
73o,0,-0.19,-2.45
73s,0,-0.14,-1.9
74o,0,-0.15,-2.22
74s,0,-0.1,-1.69
75o,0,-0.12,-2
75s,0,-0.06,-1.48
76o,0,-0.11,-1.82
76s,0,0,-1.31
77,0,0,-1.17
82o,0,-0.21,-2.65
82s,0,-0.16,-2.08
83o,0,-0.2,-2.64
83s,0,-0.15,-2.08
84o,0,-0.17,-2.41
84s,0,-0.12,-1.86
85o,0,-0.13,-2.19
85s,0,-0.08,-1.65
86o,0,-0.11,-2
86s,0,-0.03,-1.48
87o,0,-0.1,-1.86
87s,0,0,-1.35
88,0,0.03,-1.16
92o,0,-0.2,-2.67
92s,0,-0.15,-2.1
93o,0,-0.19,-2.61
93s,0,-0.14,-2.05
94o,0,-0.18,-2.6
94s,0,-0.13,-2.04
95o,0,-0.14,-2.38
95s,0,-0.09,-1.83
96o,0,-0.12,-2.19
96s,0,-0.07,-1.66
97o,0,-0.1,-2.05
97s,0,-0.03,-1.52
98o,0,-0.09,-1.98
98s,0,0,-1.46
99,0,0.07,-1.15
A2o,0,-0.06,-1.2
A2s,0,0.02,-0.73
A3o,0,-0.05,-1.15
A3s,0,0.04,-0.68
A4o,0,-0.03,-1.09
A4s,0,0.05,-0.63
A5o,0,-0.01,-1.04
A5s,0,0.07,-0.59
A6o,0,-0.03,-1.21
A6s,0,0.05,-0.74
A7o,0,-0.03,-1.18
A7s,0,0.06,-0.71
A8o,0,-0.02,-1.18
A8s,0,0.07,-0.71
A9o,0,0,-1.2
A9s,0,0.08,-0.73
AA,0,6.85,4.49
AJo,0,0.1,-0.89
AJs,0,0.27,-0.46
AKo,0,1.21,0.4
AKs,0,1.66,0.71
AQo,0,0.16,-0.52
AQs,0,0.52,-0.12
ATo,0,0.05,-1.06
ATs,0,0.14,-0.6
J2o,0,-0.15,-2.43
J2s,0,-0.09,-1.89
J3o,0,-0.14,-2.38
J3s,0,-0.08,-1.84
J4o,0,-0.12,-2.32
J4s,0,-0.06,-1.79
J5o,0,-0.11,-2.27
J5s,0,-0.05,-1.74
J6o,0,-0.11,-2.29
J6s,0,-0.05,-1.76
J7o,0,-0.09,-2.14
J7s,0,-0.03,-1.62
J8o,0,-0.07,-2
J8s,0,-0.01,-1.49
J9o,0,-0.06,-1.9
J9s,0,0,-1.39
JJ,0,1.07,-0.44
JTo,0,0,-1.75
JTs,0,0.06,-1.25
K2o,0,-0.12,-1.79
K2s,0,-0.04,-1.29
K3o,0,-0.1,-1.74
K3s,0,-0.03,-1.24
K4o,0,-0.09,-1.68
K4s,0,-0.01,-1.19
K5o,0,-0.07,-1.64
K5s,0,0,-1.15
K6o,0,-0.07,-1.61
K6s,0,0,-1.13
K7o,0,-0.07,-1.62
K7s,0,0,-1.13
K8o,0,-0.07,-1.64
K8s,0,0,-1.15
K9o,0,-0.05,-1.57
K9s,0,0.02,-1.08
KJo,0,0.03,-1.22
KJs,0,0.16,-0.78
KK,0,4.39,2.46
KQo,0,0.07,-0.91
KQs,0,0.22,-0.49
KTo,0,0,-1.38
KTs,0,0.07,-0.92
Q2o,0,-0.12,-2.1
Q2s,0,-0.06,-1.57
Q3o,0,-0.11,-2.04
Q3s,0,-0.04,-1.52
Q4o,0,-0.09,-1.99
Q4s,0,-0.03,-1.47
Q5o,0,-0.07,-1.94
Q5s,0,-0.01,-1.43
Q6o,0,-0.07,-1.92
Q6s,0,-0.01,-1.41
Q7o,0,-0.08,-1.95
Q7s,0,-0.02,-1.44
Q8o,0,-0.07,-1.82
Q8s,0,0,-1.31
Q9o,0,-0.05,-1.71
Q9s,0,0.01,-1.21
QJo,0,0.01,-1.38
QJs,0,0.08,-0.92
QQ,0,2.33,0.81
QTo,0,0,-1.54
QTs,0,0.07,-1.06
T2o,0,-0.18,-2.63
T2s,0,-0.12,-2.07
T3o,0,-0.16,-2.57
T3s,0,-0.1,-2.02
T4o,0,-0.15,-2.51
T4s,0,-0.09,-1.96
T5o,0,-0.13,-2.51
T5s,0,-0.08,-1.96
T6o,0,-0.12,-2.32
T6s,0,-0.06,-1.78
T7o,0,-0.1,-2.17
T7s,0,-0.04,-1.64
T8o,0,-0.07,-2.04
T8s,0,-0.01,-1.52
T9o,0,-0.06,-1.94
T9s,0,0,-1.43
TT,0,0.3,-1
